Institute,Quota,Gender,Year,Academic_Program_Name,Closing_Rank,Opening_Rank,Seat_Type
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",5437,4183,OPEN
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Chemical Engineering (4 Years, Bachelor of Technology)",1475,1094,OBC-NCL
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",151,151,OPEN (PwD)
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))",355,258,ST
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",417,172,OBC-NCL
Indian Institute of Technology Kharagpur,AI,Gender-Neutral,2016,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",243,65,SC
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",2622,2554,OBC-NCL
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Electrical Engineering (4 Years, Bachelor of Technology)",1891,1361,OBC-NCL
Indian Institute of Technology Bhubaneswar,AI,Gender-Neutral,2016,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",1123,1123,SC
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Aerospace Engineering (4 Years, Bachelor of Technology)",1841,838,OPEN
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Aerospace Engineering (4 Years, Bachelor of Technology)",94,94,OPEN (PwD)
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Chemical Engineering (4 Years, Bachelor of Technology)",335,161,ST
Indian Institute of Technology Bombay,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",441,217,SC
Indian Institute of Technology Mandi,AI,Gender-Neutral,2016,"Computer Science and Engineering (4 Years, Bachelor of Technology)",2450,1701,OPEN
Indian Institute of Technology Delhi,AI,Gender-Neutral,2016,"Civil Engineering (4 Years, Bachelor of Technology)",400,153,SC
